                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     56,                 1.5528,                 1.5531,                 2.2336,                0.74225,                0.72122,                0.76911,                0.56041,                 2.0107,                 1.8936,                 2.6521,             0.00075932,             0.00075932,             0.00075932
                     57,                 1.5621,                 1.5012,                 2.2626,                0.74827,                  0.717,                0.76441,                0.54508,                 2.0597,                 1.9137,                 2.7109,             0.00074282,             0.00074282,             0.00074282
                     58,                 1.5135,                 1.4553,                 2.1995,                0.83521,                0.71603,                0.77881,                0.55643,                 2.0367,                 1.7533,                 2.6684,             0.00072631,             0.00072631,             0.00072631
                     59,                 1.5236,                 1.5106,                 2.2102,                0.76767,                0.71828,                0.76682,                0.57081,                   1.96,                 1.8082,                 2.6497,             0.00070981,             0.00070981,             0.00070981
                     60,                 1.4778,                 1.3726,                 2.1931,                0.75018,                0.71763,                0.76106,                0.55748,                 2.1002,                 1.8946,                 2.7475,             0.00069331,             0.00069331,             0.00069331
                     61,                   1.55,                 1.4489,                 2.2337,                0.75835,                0.73749,                0.79117,                0.56996,                 2.0303,                 1.7023,                 2.6444,              0.0006768,              0.0006768,              0.0006768
                     62,                 1.4825,                  1.369,                 2.1999,                0.81769,                0.72201,                0.78893,                0.60218,                 1.9347,                 1.6398,                 2.5839,              0.0006603,              0.0006603,              0.0006603
                     63,                 1.4596,                 1.3662,                 2.1973,                0.79813,                0.69074,                0.77535,                0.56317,                 2.1368,                 1.7105,                  2.707,              0.0006438,              0.0006438,              0.0006438
                     64,                 1.4803,                 1.3302,                 2.2135,                0.83356,                0.68757,                0.78064,                0.57443,                 2.0108,                 1.6572,                 2.6556,             0.00062729,             0.00062729,             0.00062729
                     65,                 1.4664,                 1.3759,                 2.1771,                0.90242,                0.64389,                0.78166,                0.58441,                 1.9263,                 1.6929,                 2.5691,             0.00061079,             0.00061079,             0.00061079
                     66,                 1.4632,                 1.4274,                 2.1368,                0.86717,                0.68399,                0.79973,                0.60861,                 1.8588,                 1.6451,                 2.5303,             0.00059429,             0.00059429,             0.00059429
                     67,                 1.4373,                 1.3639,                 2.1289,                0.80816,                0.70629,                0.79663,                0.60046,                 1.9587,                  1.654,                 2.5903,             0.00057778,             0.00057778,             0.00057778
                     68,                 1.4399,                 1.3527,                 2.1266,                0.80256,                0.76599,                0.79828,                0.59172,                 1.8989,                 1.6273,                 2.5354,             0.00056128,             0.00056128,             0.00056128
                     69,                 1.4342,                 1.3384,                 2.1393,                  0.833,                 0.7567,                0.80055,                0.60097,                 1.8181,                 1.5579,                 2.5123,             0.00054478,             0.00054478,             0.00054478
                     70,                  1.398,                 1.3338,                 2.1802,                0.83453,                  0.661,                0.77273,                0.57775,                 1.8715,                 1.6896,                 2.4981,             0.00052827,             0.00052827,             0.00052827
                     71,                 1.4212,                  1.326,                 2.1741,                0.80837,                0.72495,                 0.7772,                 0.5802,                 1.9552,                 1.7188,                  2.561,             0.00051177,             0.00051177,             0.00051177
                     72,                 1.4663,                 1.3159,                 2.1436,                0.74632,                0.77337,                0.79473,                0.59538,                 1.8801,                 1.6227,                 2.5248,             0.00049527,             0.00049527,             0.00049527
                     73,                 1.4512,                  1.345,                 2.1356,                0.78705,                0.74439,                0.79233,                0.59042,                 1.8853,                 1.5763,                 2.5248,             0.00047876,             0.00047876,             0.00047876
                     74,                 1.3959,                 1.2463,                 2.1519,                0.81158,                0.73153,                0.78522,                0.57625,                 1.8661,                 1.6549,                 2.5011,             0.00046226,             0.00046226,             0.00046226
                     75,                 1.4062,                 1.2893,                 2.0987,                0.91386,                0.69812,                0.79862,                0.59389,                 1.8294,                 1.5772,                 2.4699,             0.00044576,             0.00044576,             0.00044576
                     76,                 1.3638,                 1.2181,                 2.1584,                 0.8069,                0.73875,                0.78364,                0.58469,                  1.873,                 1.5888,                 2.5179,             0.00042925,             0.00042925,             0.00042925
                     77,                 1.3619,                 1.2665,                 2.1271,                0.86638,                0.71653,                0.80527,                 0.5957,                 1.8937,                 1.6642,                 2.5518,             0.00041275,             0.00041275,             0.00041275
                     78,                 1.3486,                 1.2447,                 2.1099,                0.85982,                 0.7206,                0.81555,                0.61204,                 1.8463,                   1.61,                 2.5095,             0.00039625,             0.00039625,             0.00039625
                     79,                 1.4052,                 1.2801,                 2.1292,                 0.8824,                0.74431,                0.82406,                0.61932,                 1.8326,                 1.5011,                 2.4552,             0.00037974,             0.00037974,             0.00037974
                     80,                 1.3708,                 1.2416,                 2.0879,                0.83192,                0.77514,                0.82556,                0.63342,                 1.8202,                 1.4355,                 2.4701,             0.00036324,             0.00036324,             0.00036324
                     81,                 1.3068,                 1.1794,                 2.0756,                0.82946,                0.76863,                 0.8293,                 0.6155,                 1.8937,                 1.5577,                 2.4615,             0.00034674,             0.00034674,             0.00034674
                     82,                 1.3086,                 1.1522,                 2.0595,                0.82183,                0.73682,                0.80626,                0.60878,                 1.8622,                 1.6519,                 2.5637,             0.00033023,             0.00033023,             0.00033023
                     83,                  1.367,                 1.1878,                 2.1004,                0.83003,                0.73274,                0.80209,                0.61187,                 1.8529,                 1.6539,                   2.52,             0.00031373,             0.00031373,             0.00031373
                     84,                 1.2741,                 1.1671,                 2.0456,                 0.8436,                0.73774,                 0.8022,                0.60455,                 1.8765,                 1.6469,                 2.4997,             0.00029723,             0.00029723,             0.00029723
                     85,                 1.2565,                 1.1103,                   2.08,                0.83062,                0.73019,                0.80545,                0.61102,                 1.7857,                 1.6009,                 2.4697,             0.00028072,             0.00028072,             0.00028072
                     86,                 1.1801,                 1.0632,                 2.0311,                0.79471,                0.79353,                0.81892,                0.62017,                 1.7595,                 1.5261,                 2.4758,             0.00026422,             0.00026422,             0.00026422
                     87,                 1.2757,                 1.1604,                 2.0669,                 0.8193,                0.77377,                0.81628,                0.61804,                 1.7348,                 1.4777,                 2.4521,             0.00024772,             0.00024772,             0.00024772
                     88,                  1.221,                 1.1034,                 2.0349,                0.79713,                 0.7779,                0.80462,                0.61126,                 1.7213,                 1.5577,                   2.44,             0.00023121,             0.00023121,             0.00023121
                     89,                 1.2468,                 1.0994,                 2.0215,                 0.8027,                0.77568,                0.80538,                0.60943,                 1.7785,                 1.5358,                 2.4542,             0.00021471,             0.00021471,             0.00021471
                     90,                 1.2225,                 1.1287,                 2.0224,                0.78416,                0.76867,                0.80132,                0.60498,                 1.7661,                  1.609,                 2.4345,             0.00019821,             0.00019821,             0.00019821
                     91,                  1.225,                 1.2684,                 1.9933,                0.90672,                 0.7086,                0.81424,                0.61448,                  1.766,                 1.5395,                 2.4234,              0.0001817,              0.0001817,              0.0001817
                     92,                 1.1726,                 1.0771,                 1.9029,                0.89872,                0.68923,                0.81234,                0.62639,                  1.796,                 1.6434,                 2.4354,              0.0001652,              0.0001652,              0.0001652
                     93,                 1.1832,                 1.1092,                 1.9626,                 0.8216,                0.72316,                0.80649,                 0.6261,                 1.7489,                 1.6096,                 2.4093,              0.0001487,              0.0001487,              0.0001487
                     94,                 1.1428,                 1.0298,                 1.9609,                0.85251,                0.71384,                0.81122,                0.63467,                 1.6994,                 1.5074,                 2.4126,             0.00013219,             0.00013219,             0.00013219
                     95,                 1.1555,                 1.0335,                 1.9791,                0.86779,                0.68437,                0.81133,                0.63552,                 1.6922,                 1.4752,                 2.3974,             0.00011569,             0.00011569,             0.00011569
                     96,                 1.0883,                0.98823,                 1.9379,                0.78492,                0.77481,                0.81097,                 0.6389,                 1.6847,                 1.4512,                 2.3771,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                 1.1252,                0.99623,                 1.9213,                0.85204,                 0.7069,                0.81485,                0.64045,                 1.6859,                  1.413,                 2.3877,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                 1.1127,                0.94501,                 1.8805,                0.83908,                0.73019,                  0.814,                0.63313,                 1.7039,                 1.4224,                 2.3936,              6.618e-05,              6.618e-05,              6.618e-05
                     99,                 1.0789,                0.96631,                 1.9081,                0.78643,                0.78754,                  0.817,                0.62971,                 1.7171,                 1.4427,                 2.3889,             4.9677e-05,             4.9677e-05,             4.9677e-05
                    100,                 1.0916,                 0.9132,                 1.8992,                0.78677,                0.77363,                0.81308,                0.62913,                 1.7161,                 1.4411,                 2.3843,             3.3173e-05,             3.3173e-05,             3.3173e-05
